ExternalId	Name	TypeOne	TypeTwo	X	Y	Geometry	Poly15
1268	Všeobecná ambulancia pre deti a dorast, MUDr. Alena Jancová, Košice-Sídlisko KVP, (JAAT Style, s. r. o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2160937	48.7147646	POINT (21.216093676700684 48.71476464696784)	POLYGON ((21.206342655127816 48.709674239913454, 21.20633139940772 48.709676245578876, 21.20632005907469 48.709678030316844, 21.206315311422067 48.70967911230714, 21.20631046283103 48.70967997628012, 21.20629955835503 48.70968270243027, 21.206288536953295
1269	Všeobecná ambulancia pre deti a dorast, MUDr. ?ubica Birošová, Košice-Krásna, (LUMART LM s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.3192039	48.671261	POINT (21.31920387699729 48.67126104693139)	POLYGON ((21.31249158678845 48.668659379838736, 21.312485870391466 48.6686645001303, 21.312483381187153 48.66866725970108, 21.312480608284204 48.66866989793886, 21.312479534143264 48.66867116994797, 21.31247830043553 48.66867237678214, 21.31247371621697 4
1270	Všeobecná ambulancia pre deti a dorast, MUDr. Žofia Kissová, Košice-Staré Mesto, (MEDKISS s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2434606	48.7249693	POINT (21.243460576773302 48.72496934699083)	POLYGON ((21.235151458692677 48.72137552104933, 21.235118584981695 48.721371819054156, 21.235085321159424 48.72137026685668, 21.235051987570454 48.72137087940513, 21.235018905231215 48.72137365080049, 21.2349863927386 48.72137855435305, 21.234954763201845
1271	Všeobecná ambulancia pre deti a dorast, MUDr. Zuzana Klembarová, Košice-Juh, (MAPAS, s. r. o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2576085	48.7070256	POINT (21.25760847681738 48.70702564696784)	POLYGON ((21.248033464188516 48.70214751631414, 21.248021680437013 48.702154236093726, 21.24800983032233 48.70216090454847, 21.24800905531384 48.70216143566903, 21.248008210147287 48.702161917631756, 21.247997478210113 48.70216936956476, 21.24798667262903
1272	Všeobecná ambulancia pre deti a dorast, MUDr. Mária Ko?íková, Košice-Západ, (KOMALEK s. r. o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2374149	48.7221636	POINT (21.237414876757416 48.7221636469849)	POLYGON ((21.22898278390558 48.71705327857038, 21.228965456719838 48.71703442769233, 21.228945420674258 48.7170167914121, 21.22892286872808 48.717000539575366, 21.228898018069223 48.7169858286948, 21.228871108022652 48.71697280044286, 21.22884239774554 48
1273	Všeobecná ambulancia pre deti a dorast, MUDr. Dagmar Ková?iková, Košice-Staré Mesto, (MUDr. Dagmar Ková?iková)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2434606	48.7249693	POINT (21.243460576773302 48.72496934699083)	POLYGON ((21.235151458692677 48.72137552104933, 21.235118584981695 48.721371819054156, 21.235085321159424 48.72137026685668, 21.235051987570454 48.72137087940513, 21.235018905231215 48.72137365080049, 21.2349863927386 48.72137855435305, 21.234954763201845
1274	Všeobecná ambulancia pre deti a dorast, MUDr. Viera Kraj?iová, Košice-Sídlisko KVP, (VIAMEDY s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2160937	48.7147646	POINT (21.216093676700684 48.71476464696784)	POLYGON ((21.206342655127816 48.709674239913454, 21.20633139940772 48.709676245578876, 21.20632005907469 48.709678030316844, 21.206315311422067 48.70967911230714, 21.20631046283103 48.70967997628012, 21.20629955835503 48.70968270243027, 21.206288536953295
1275	Všeobecná ambulancia pre deti a dorast, MUDr. Mária Lorková, Košice-Sídlisko KVP, (LORMED s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2160937	48.7147646	POINT (21.216093676700684 48.71476464696784)	POLYGON ((21.206342655127816 48.709674239913454, 21.20633139940772 48.709676245578876, 21.20632005907469 48.709678030316844, 21.206315311422067 48.70967911230714, 21.20631046283103 48.70967997628012, 21.20629955835503 48.70968270243027, 21.206288536953295
1276	Všeobecná ambulancia pre deti a dorast, MUDr. Zoja Olašinová, Košice-Sídlisko KVP, (ADAM - KOŠICE s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2160937	48.7147646	POINT (21.216093676700684 48.71476464696784)	POLYGON ((21.206342655127816 48.709674239913454, 21.20633139940772 48.709676245578876, 21.20632005907469 48.709678030316844, 21.206315311422067 48.70967911230714, 21.20631046283103 48.70967997628012, 21.20629955835503 48.70968270243027, 21.206288536953295
1277	Všeobecná ambulancia pre deti a dorast, MUDr. Kristína Pa?utová, Košice-Sídlisko KVP, (MEDPAK, s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2160937	48.7147646	POINT (21.216093676700684 48.71476464696784)	POLYGON ((21.206342655127816 48.709674239913454, 21.20633139940772 48.709676245578876, 21.20632005907469 48.709678030316844, 21.206315311422067 48.70967911230714, 21.20631046283103 48.70967997628012, 21.20629955835503 48.70968270243027, 21.206288536953295
