ExternalId;Geometry;X;Y;Street;OrientationNumber;Address;Type;District;DistrictTwo;LegalArea;HousingCount
23824;POINT (21.2079103961889 48.7064902865291);21.2079103961889;48.7064902865291;Pod Hrabinou;58;Pod Hrabinou 58;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23809;POINT (21.2103809558374 48.705577970092);21.2103809558374;48.705577970092;Pod Hrabinou;98;Pod Hrabinou 98;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
3348;POINT (21.258295 48.7120062);21.258295;48.7120062;Tichá;20;Tichá 20;Rodinný dom;Košice-Juh;Juh;Južné Mesto;1.0
3410;POINT (21.2585351 48.718863);21.2585351;48.718863;Hlavná;14A;Hlavná 14A;Bytový dom;Košice-Staré Mesto;Staré Mesto;Stredné Mesto;2.0
23791;POINT (21.2121550638215 48.7053514461449);21.2121550638215;48.7053514461449;Myslavská;97;Myslavská 97;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
3408;POINT (21.2634099728569 48.7311344507328);21.2634099728569;48.7311344507328;Stromová;14;Stromová 14;Bytový dom;Košice-Staré Mesto;Staré Mesto;Letná;1.0
3394;POINT (21.2746685651994 48.7245275597168);21.2746685651994;48.7245275597168;Stará prešovská;4;Stará prešovská 4;Bytový dom;Košice-Staré Mesto;Staré Mesto;Stredné Mesto;1.0
3375;POINT (21.25733181 48.71160483);21.25733181;48.71160483;Brezová;2;Brezová 2;Rodinný dom;Košice-Juh;Juh;Južné Mesto;1.0
3372;POINT (21.2576304 48.711849);21.2576304;48.711849;Tichá;12;Tichá 12;Rodinný dom;Košice-Juh;Juh;Južné Mesto;1.0
23800;POINT (21.2104517164027 48.7045388337045);21.2104517164027;48.7045388337045;Pod Hrabinou;112A;Pod Hrabinou 112A;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23801;POINT (21.2106675532888 48.7047026043389);21.2106675532888;48.7047026043389;Pod Hrabinou;112;Pod Hrabinou 112;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23802;POINT (21.2105658086031 48.7048153550803);21.2105658086031;48.7048153550803;Pod Hrabinou;110;Pod Hrabinou 110;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23803;POINT (21.21055832 48.70476187);21.21055832;48.70476187;Pod Hrabinou;110A;Pod Hrabinou 110A;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
3373;POINT (21.257334 48.711777);21.257334;48.711777;Tichá;10;Tichá 10;Rodinný dom;Košice-Juh;Juh;Južné Mesto;1.0
23805;POINT (21.2104826234742 48.7048963312603);21.2104826234742;48.7048963312603;Pod Hrabinou;108;Pod Hrabinou 108;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23806;POINT (21.2103351787009 48.7049645104634);21.2103351787009;48.7049645104634;Pod Hrabinou;106;Pod Hrabinou 106;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
29827;POINT (21.2792097 48.7209234);21.2792097;48.7209234;Ražná;13A;Ražná 13A;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
23807;POINT (21.2102060991135 48.7048273468783);21.2102060991135;48.7048273468783;Pod Hrabinou;128;Pod Hrabinou 128;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
