ExternalId;Geometry;X;Y;Street;OrientationNumber;Address;Type;District;DistrictTwo;LegalArea;HousingCount
29710;POINT (21.277678 48.72235872);21.277678;48.72235872;Zemplínska;35;Zemplínska 35;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29706;POINT (21.2775712 48.7223484);21.2775712;48.7223484;Zemplínska;37;Zemplínska 37;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24142;POINT (21.2604385 48.7558564);21.2604385;48.7558564;Želiarska;43;Želiarska 43;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29705;POINT (21.2773844 48.7223183);21.2773844;48.7223183;Zemplínska;37A;Zemplínska 37A;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24143;POINT (21.2593813 48.7567284);21.2593813;48.7567284;Repná;46A;Repná 46A;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24144;POINT (21.2602335 48.7557154);21.2602335;48.7557154;Želiarska;39;Želiarska 39;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24149;POINT (21.2597554 48.7555174);21.2597554;48.7555174;Želiarska;35;Želiarska 35;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29716;POINT (21.2781215 48.7230494);21.2781215;48.7230494;Nevädzová;19;Nevädzová 19;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29715;POINT (21.2782324 48.7230846);21.2782324;48.7230846;Nevädzová;21;Nevädzová 21;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24108;POINT (21.2596083 48.7552773);21.2596083;48.7552773;Želiarska;20;Želiarska 20;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24109;POINT (21.2598065 48.7553545);21.2598065;48.7553545;Želiarska;22;Želiarska 22;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24110;POINT (21.26077023 48.75439845);21.26077023;48.75439845;Pri Hrušove;8;Pri Hrušove 8;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24111;POINT (21.2600205 48.7554471);21.2600205;48.7554471;Želiarska;24;Želiarska 24;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
